,ligand	c1ccc(cc1)c2cc3c4cc(ccc4[nH]c3c(c2)C(=O)N)C(=O)N5CCOCC5	17	P10000025
0,Cc1ccc(c(c1)Br)OCC(=O)Nc2c(c(c(s2)C)C)C(=O)N	C01155336	P05364522
1,c1ccc2c(c1)c3c(c(=O)[nH]2)[C@@H](C(=C(O3)N)C#N)c4ccc(cc4)Br	C00989347	P06836950
2,c1ccc2c(c1)c3c(c(=O)[nH]2)[C@H](C(=C(O3)N)C#N)c4cc(cs4)Br	C01231682	P07297759
3,c1cc(c(cc1Cl)[C@@H]2[C@H]3[C@@H](NN=C3C(F)(F)F)OC(=C2C#N)N)Cl	C05568035	P08284763
4,CC(=O)[C@@H]1[C@H](NC(=O)N[C@@]1(C(F)(F)F)O)c2ccc(cc2)C(F)(F)F	C05613405	P08364802
5,Cc1cc2=C(C(=O)N=c2c(c1)Br)c3c(n(c(=S)s3)N)O	C05613550	P08364972
6,C/C(=N\NS(=O)(=O)c1ccc(cc1)Br)/c2ccc(cc2)N	C04497999	P10211290
7,c1cc(ccc1CC(=O)Nc2ccc(cc2)S(=O)(=O)N)Br	C01088658	P12586790
8,C[C@]12CC/C(=N\NC(=S)N)/C[C@H]1CC[C@H]3[C@@H]2CC[C@]4(C3=CC=C4C5=CC(=O)OC5)C	C12862552	P18895576
9,CCCNC(=O)c1ccc2c(c1)[C@H]3C=CC[C@@H]3[C@@H](N2)c4ccc(c(c4)OC)O	C14459453	P22114848
10,CC(C)[C@@H]1C(=O)N[C@@H](Cc2c[nH]c3c2c(ccc3C(C)(C)C=C)N1C)CO	C14638478	P22361147
11,c1ccc(cc1)[C@H]2[C@@H]([C@@](NC(=O)N2)(C(F)(F)F)O)C(=O)c3cccs3	C04163465	P26236102
12,c1cc(c(cc1Br)[C@@H]2[C@@H]3CNCC=C3C(C(=C2C#N)N)(C#N)C#N)F	C04631671	P29504956
13,COc1ccc(cc1S(=O)(=O)Nc2ccc(cc2F)Br)N	C20565780	P30665297
14,CCOC(=O)C1=C(NC(=S)N[C@H]1c2ccc(c(c2)Br)O)C	C25670113	P37926367
15,CC(=O)O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]3[C@@H]2CC[C@]4([C@@]3(CC[C@@H]4[C@H](CO)O)O)C)C	C36020335	P53484049
16,Cc1ccc(c(c1)Br)S(=O)(=O)Nc2cc(ccc2OC)N	C36287059	P53915202
17,Cc1c(cccc1NS(=O)(=O)c2cc(ccc2OC)Br)N	C36296354	P53934447
18,C[C@H](c1ccc(s1)S(=O)(=O)N)NC(=O)c2ccccc2Br	C36721666	P54570405
19,c1cc(cc(c1)S(=O)(=O)Nc2c(cc(cc2Br)Br)N)C#N	C36743180	P54606052
20,Cc1ccc(c(c1)NS(=O)(=O)c2ccc(cc2N)Br)OC	C37063895	P55098718
21,c1cc(ccc1CNc2ccc(cc2Br)S(=O)(=O)N)C#N	C37137958	P55218612
22,C[C@H]1C[C@@H]2[C@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O	C03881945	P56787739
23,COc1ccc(cc1Br)S(=O)(=O)Nc2cc(ccc2Cl)N	C38033809	P57187227
24,c1ccc2=[NH+]C(=O)/C(=C(\Nc3ccccc3I)/O)/C(=c2c1)[O-]	C06383134	P57596874
25,c1cc(c(cc1Br)S(=O)(=O)N(CCO)C2CCCCC2)N	C40318476	P61204605
26,c1cc(c(cc1N)Br)S(=O)(=O)Nc2ccc(c(c2)C#N)Cl	C40326221	P61223620
27,c1ccc(c(c1)CC(=O)N)NS(=O)(=O)c2ccccc2Br	C40432977	P61379591
28,Cc1cc(nc(c1/C(=N/O)/N)N(C)Cc2cc(cs2)Br)C	C42399440	P64137746
29,C[C@@H](C(=O)NCC(C)C)Oc1c(cc(cc1I)C#N)N	C43415296	P65654764
30,CCc1c(s/c(=N\S(=O)(=O)c2ccc(cc2Br)N)/[nH]1)C	C49150120	P73411802
31,C[C@@H](c1cccs1)NC(=O)c2cc(c(s2)Br)S(=O)(=O)N	C49458145	P73846479
32,COc1cc(ccc1NS(=O)(=O)c2cc(ccc2N)Br)F	C49563749	P74020057
33,c1cc(c(cc1Br)[N-]S(=O)(=O)c2ccc([nH+]c2)N)Br	C50673322	P80478520
34,c1ccc(cc1)n2c3c(sc2=S)C(=O)N[C@H](N3)c4c[nH]c5c4cccc5	C59459470	P90479668
35,C[C@@H](c1ccc(cc1)S(=O)(=O)N)NC(=O)Cc2cccc3c2cccc3	C17852012	P92261269
36,c1cc(c(cc1N)C#N)S(=O)(=O)Nc2cc(ccc2Cl)Br	C61691000	P94489759
37,C[C@H](c1ccncc1)NS(=O)(=O)c2cc(cc(c2Br)N)Cl	C61881779	P94826143
38,C[C@@H](C[N-]S(=O)(=O)c1cc(cc(c1Br)N)Cl)[NH+](C)C	C61882189	P94852982
39,C[C@H](C(=O)Nc1ccc(cc1)Br)O/N=C(\c2ccsc2)/N	C67771296	P104061555
40,C[C@H]1CCc2c(csc2C1)C(=O)N[C@H](C)c3ccc(cc3)S(=O)(=O)N	C23445690	P106175273
41,C[C@@H](c1ccc(cc1)S(=O)(=O)N)NC(=O)c2cc(ccc2Cl)SC	C69099334	P106175851
42,c1ccc2c(c1)[C@H](CO2)NS(=O)(=O)c3ccc(cc3N)Br	C70528613	P108794753
43,c1cc(c(cc1NS(=O)(=O)c2ccc(c(c2)Br)N)Cl)C#N	C71384259	P110421917
44,Cc1cc[nH+]cc1[N-]S(=O)(=O)c2c(cc(cc2Br)N)Br	C71413541	P110489067
45,CCOc1ccc(cc1)C[C@]2(C(=O)N=C(N2)N)c3ccc(cc3)Br	C71974999	P111711966
46,c1c(nc(s1)NC(=O)CC23C[C@H]4C[C@@H](C2)CC(C4)(C3)Br)C(=O)N	C89764717	P140333280
47,c1ccc(c(c1)NS(=O)(=O)c2ccc(cc2N)C#N)I	C96845308	P153212518
48,Cc1c/c(=N/S(=O)(=O)c2cc(cc(c2Br)N)Cl)/cc[nH]1	C98025427	P155711066
