,ligand	Cc1cc(cnc1C(=O)NC)Nc2[nH+]ccc(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]5CC5(F)F	36	P10000030
0,Cc1cccc(c1)NC(=O)CN2C(=O)/C(=C\c3cc(n(c3C)c4cc(cc[nH+]4)C)C)/NC2=O	C08451825	P12862854
1,Cc1cc2c(c(=O)n1CCCn3cc[nH+]c3)[C@@H](C(=C(O2)N)C(=O)OC)c4ccc(cc4Cl)Cl	C09123958	P13999441
2,c1ccc2c(c1)C=C[NH+]3[C@H]2[C@@H]4[C@H]([C@H]3C(=O)Nc5ccc(c(c5)[N+](=O)[O-])Cl)C(=O)NC4=O	C09281090	P14220644
3,c1cc(ccc1CN2C(=O)C3(CC[NH+](CC3)CC(=O)Nc4ccc5c(c4)OCO5)NC2=O)Cl	C09419186	P14433179
4,c1cc(c[nH+]c1)CNC(=O)c2c3c(sc2NC(=O)c4ccc(cc4)[N+](=O)[O-])CCCC3	C01121360	P14594085
5,CC(=O)Nc1ccc(c(c1)S(=O)(=O)N[C@@H]2CC3(CC[NH+](CC3)C)Oc4c2cccc4)OC	C09793938	P14980832
6,CCOC(=O)[C@@]1([C@@H]2[C@@H]([C@H]([NH2+]1)c3ccc(c(c3)OC)O)C(=O)N(C2=O)C)c4ccccc4	C12495688	P18363370
7,C[NH+]1C[C@H](C[C@H]1c2nc(no2)c3ccncc3)NC(=O)Nc4ccc(cc4)C(F)(F)F	C12529846	P18410132
8,CC(C)n1c2c(=O)[nH]c(=O)n(c2[nH+]c1N/N=C/c3cc(ccc3OC)Br)C	C12558802	P18460087
9,c1ccc(c(c1)NC(=O)C2CC[NH+](CC2)CC(=O)N3CCC[C@H]3c4ccc5c(c4)OCCO5)O	C12772154	P18770691
10,Cc1cc2cc(c(=O)[nH]c2cc1C)[C@H](c3nnnn3Cc4ccc(cc4)OC)[NH+]5CCC(CC5)O	C06321384	P19277495
11,CC1(CC2=C([C@@H](N(c3ccccc3N2)CC(=O)N4CC[NH+](CC4)CCO)c5ccco5)C(=O)C1)C	C09264112	P19797780
12,Cn1c2c(c(=O)[nH]c1=O)n(c([nH+]2)N/N=C/c3ccc(cc3)OC)Cc4cccc(c4)Br	C13231914	P20078487
13,Cc1c(c(n[nH]1)C)C(=C2[C@H](N(C(=O)C2=O)Cc3ccc[nH+]c3)c4cccc(c4OC)OC)O	C13691072	P21079444
14,c1cc(ccc1S(=O)(=O)N2CCC(CC2)C(=O)NCCC(=O)Nc3cc[nH+]cc3)Cl	C13729932	P21148035
15,c1ccc2c(c1)N(C(=O)CO2)CCC(=O)OCc3[nH+]c(c4c5c(sc4n3)CCCC5)N	C18341538	P27408355
16,Cc1cc2c(cc1S(=O)(=O)NCCCN3CC[NH+](CC3)C4CCCCC4)OCC(=O)N2	C21108511	P31501949
17,c1ccc2c(c1)NC3=C([C@H](N2C(=O)CCC(=O)NCc4cc[nH+]cc4)c5ccco5)C(=O)CCC3	C21722593	P32375657
18,c1cc(cnc1)/C=[NH+]/c2cc(ccc2O)S(=O)(=O)c3ccc(c(c3)/N=C/c4cccnc4)O	C22015178	P32763017
19,CC(C)[C@@H](C(=O)NCC1(CCCCC1)[NH+]2CCOCC2)NC3=NS(=O)(=O)c4c3cccc4	C22462363	P33390072
20,COc1cccc(c1)[C@@H](CNC(=O)Cn2c(=O)c3ccccc3c(n2)O)[NH+]4CCCC4	C17702474	P33798511
21,CC(C)CNC(=O)C[NH+]1CCN(CC1)CC(=O)Nc2cc3c(cc2Br)OCCO3	C22931452	P34048492
22,c1ccc(cc1)OC[C@H](C[NH+]2CCN(CC2)CC3=NS(=O)(=O)c4ccccc4N3)O	C24899273	P36877785
23,c1ccc(cc1)OC[C@@H](C[NH+]2CCN(CC2)CC3=NS(=O)(=O)c4cc(ccc4N3)Cl)O	C24899330	P36877848
24,C[C@@H](c1nc(nc(n1)N(C)C)N)[NH+]2CCN(CC2)Cc3ccc(cc3)OC(F)(F)F	C27773901	P40914652
25,c1ccc2c(c1)nc(o2)C3CC[NH+](CC3)CC(=O)NNC(=O)COc4ccc(cc4)Br	C32738492	P48483167
26,C[C@]1(C(=O)N(C(=O)N1)NC(=O)CN2CC[NH+](CC2)Cc3cccc4c3cccc4)c5ccccc5	C22808367	P52352382
27,c1ccc(cc1)C[NH+]2CC=C3[C@H](C2)[C@@H](C(C(=C3C#N)N)(C#N)C#N)c4cc(cs4)[N+](=O)[O-]	C08951197	P53294057
28,COc1ccc(cc1OC)/C=C/2\C(=O)c3ccc(c(c3O2)C[NH+]4CCN(CC4)CCO)O	C37857465	P56301252
29,COc1cc(cc(c1OC)OC)[C@H]2CC3=C([C@@H](N4C(=N3)[NH+]=CN4)c5ccccc5O)C(=O)C2	C13483930	P57735893
30,COc1ccc(c(c1)OC)/C=C\2/C(=O)c3ccc(c(c3O2)C[NH+]4CCN(CC4)CCO)O	C22785358	P58736252
31,COc1ccc(cc1)c2c3c([nH]n2)C(=O)N([C@H]3c4ccc(cc4)O)CC[NH+]5CCOCC5	C40344072	P61264169
32,COc1ccc2c(c1)c(=O)c3c([nH]2)CC[NH+](C3)CC(=O)Nc4ccc(cc4OC)OC	C48987758	P73179802
33,COc1ccc(c(c1)OC)[C@H]2NC3=NCN(CN3c4n2c5ccccc5[nH+]4)CCCO	C19960422	P79512310
34,c1cc(c[nH+]c1)CN(C[C@H]2CCCO2)C(=O)Nc3ccc(cc3)NC(=O)[C@H]4CCCO4	C58174767	P87787388
35,c1cc2=[NH+][C@@H]3CN(CCC3=c2cc1Cl)C(=O)NCCCC(=O)N[C@@H]4CCS(=O)(=O)C4	C63303010	P97216999
36,Cc1cc(c2c(c1)[C@]3([C@H]4[C@@H]([C@H](N3)CC5=c6ccccc6=[NH+]C5)C(=O)N(C4=O)CCOC)C(=O)N2)C	C63376197	P97325853
37,CC[NH+]1CCC2=c3ccccc3=[NH+][C@H]2[C@@H]1c4c(=O)[nH]c(=O)n(c4[O-])c5cc(ccc5OC)OC	C63384286	P97337342
38,CC(=O)N[C@H](CC1=c2ccccc2=[NH+]C1)C(=O)OC[C@@H]3CC(=O)N4C=C(C=C[C@@H]4N3)Br	C63731501	P97857740
39,CCC1=C(C2=[NH+]C=C3[C@@H](N2N1)C=CN(C3=O)c4[nH]nc(n4)SC)c5ccc(cc5)F	C63767340	P97916659
40,C[C@@H]1[C@H](S[C@@H]([NH2+]1)N(CCOC)C(=O)C)C(=O)/N=c/2\[nH]c3ccc(cc3s2)OC	C63786687	P97944699
41,COc1cc2c(cc1OC)NCN(C2=O)CC(=O)NCCC3=c4cc(ccc4=[NH+]C3)Cl	C63818522	P97990216
42,c1cc(ccc1CNc2nc3[nH]c(cc(=O)n3n2)C[NH+]4CCN(CC4)c5ccc(cc5)F)F	C64580072	P99168112
43,Cc1ccc(c(c1)C)N2C(=O)/C(=C\c3cc(ccc3N4CC[NH2+]CC4)[N+](=O)[O-])/C(=O)NC2=S	C17085708	P112147160
44,C[NH+]1CCN(CC1)Cc2cc(ccc2O)CN3CCc4c(nc(nc4[O-])c5cc[nH+]cc5)C3	C19590061	P112448667
45,Cc1cc(ccc1OC)S(=O)(=O)N2CCCC[C@@H]2c3nc4c(c(n3)NC)C[NH2+]CC4	C72372306	P112531829
46,COCCC/[NH+]=C(/c1ccc2c(c1)[nH]c(=S)n(c2=O)Cc3ccc4c(c3)OCO4)\O	C03043900	P128255297
47,c1ccc2c(c1)[nH+]cn2c3ccc(cc3)CNC(=O)CCCN4C(=O)C5(CCCC5)NC4=O	C71845428	P132394571
48,c1ccn2c(c1)c(c3c2ncnc3NCc4ccc[nH+]c4)C(=O)NCCc5cccnc5	C96264379	P151727354
49,COc1ccc(cc1)N2C(=O)C[C@H](C2=O)SC(=[NH2+])N/N=C/c3ccnc4c3cccc4	C18118998	P155639747
