,ligand	C[C@@H]1C[C@@H](CC[N@H+]1Cc2cccc(c2)Cl)Nc3c4cc[nH]c4ncc3C(=O)NC	50	P10000034
0,C[C@@H]1c2c(sc([nH+]2)N)C[C@]3([C@H]1[C@H]([C@@H](CC3)[C@H](C)C(=O)N(C)CC=C)O)C	C03840844	P04503527
1,c1ccc(cc1)C[NH+]2CCc3c(sc4c3C(=N[C@H](N4)c5ccc(cc5)O)O)C2	C03667901	P05433148
2,COc1cccc(c1O)[C@@H]2Nc3c(c4c(s3)C[NH+](CC4)Cc5ccccc5)C(=N2)O	C04556433	P06220084
3,C[C@@H](C(=O)NC(=O)NC1CC1)Sc2[nH]c(c([nH+]2)c3cccs3)c4cccs4	C12478610	P18365245
4,COc1cc(cc(c1O)OC)[C@H]2c3c([nH+]c(nc3N)SC)CC4=C2C(=O)CCC4	C06624857	P19475615
5,Cn1c2c(c(n1)C(=O)NCc3cccs3)C[C@H](CC2)[NH2+]CC4(CCCCC4)O	C14740418	P22485332
6,CCCCNC(=O)NC(=O)CSc1[nH]c(c[nH+]1)c2ccc(cc2)Br	C18597262	P27685263
7,Cc1ccc2c(c1)[nH]c(c2[C@H](C[NH+]3CCC4(CC3)C[C@H](c5ccc(cc5O4)OC)O)O)C	C19219622	P28373378
8,CS/C(=C(\C#N)/[C@H](c1ccccc1Cl)[C@H](C#N)C(=O)Nc2ccccc2)/[NH3+]	C04756161	P29563561
9,c1ccc(cc1)C[NH+]2CCc3c(sc4c3C(=N[C@@H](N4)c5ccccc5O)O)C2	C20036545	P29811933
10,CCOc1ccc(cc1)c2c3c([nH]n2)OC(=C([C@@H]3c4ccccc4Cl)C#N)[NH3+]	C09244000	P30503696
11,C[C@H](c1ccc(cc1Cl)Cl)[NH2+][C@@H](C)C(=O)Nc2cc(ccc2OC)NC(=O)C	C26348049	P38854119
12,COc1ccc(cc1)/N=C\c2cc3c(cc2O)OC(=C([C@@H]3c4ccco4)C#N)[NH3+]	C00711726	P49166557
13,CCc1cccc(c1n2c(c(sc2=S)C(=O)NCc3ccco3)[NH3+])CC	C33252259	P49180091
14,CCOc1ccc(cc1)c2c3c([nH]n2)OC(=C([C@H]3c4ccc(cc4)OC)C#N)[NH3+]	C05146002	P49306362
15,COc1ccc(cc1OC)[C@H]2c3c(n[nH]c3OC(=C2C#N)[NH3+])c4ccc5ccccc5c4	C00646937	P49755602
16,c1ccc2cc(ccc2c1)NC(=O)C(=O)N/[NH+]=C/c3c4ccccc4ccc3O	C06238178	P54215180
17,COc1cccc(c1)[C@H]2C[C@@H](n3c([nH+]c(n3)N)N2)c4c(cccc4Cl)Cl	C12469464	P57403427
18,COc1ccc(cc1OC)[C@H]2C[C@H](Nc3n2nc([nH+]3)N)c4ccc(cc4Cl)Cl	C13131297	P57403763
19,c1cc(ccc1[C@@H]2C[C@H](N3C(=[NH+]2)C(=C(N3)C(=O)N)Cl)C(F)(F)F)Cl	C00646995	P57587798
20,Cc1c(cc(s1)[C@@H]2[C@H]3[C@@H](NN=C3C)OC(=C2C#N)[NH3+])COc4ccc(cc4)F	C39237418	P59450515
21,Cc1cc(ccc1OCc2cc(sc2C)[C@@H]3[C@@H]4[C@@H](NN=C4C)OC(=C3C#N)[NH3+])Cl	C39237460	P59450538
22,Cc1cccc([nH+]1)Nc2c(c(ncn2)Oc3ccc(c4c3nccc4)Br)N	C40685704	P61763287
23,Cc1cc[nH+]c(c1)Nc2c(c(ncn2)Oc3ccc(c4c3nccc4)Br)N	C40701412	P61794775
24,CS/C(=[NH+]\[NH+]=C(\c1cncc(n1)Cc2cccc(c2)C(F)(F)F)/N)/[S-]	C44551828	P67238030
25,CCc1ccc(cc1)[C@@H]2C[C@@H](n3c([nH+]c(n3)N)N2)c4cccc(c4)Br	C02472285	P74792600
26,CCOc1ccc(cc1)[C@@H]2C[C@@H](Nc3n2nc([nH+]3)N)c4ccc(c(c4)Cl)Cl	C03642468	P74799317
27,COc1cccc(c1)[C@H]2C[C@H](Nc3n2nc([nH+]3)N)c4ccc(cc4)Br	C02392018	P75573650
28,COc1ccc(cc1OC)[C@H]2C[C@@H](Nc3n2nc([nH+]3)N)c4ccc(c(c4)Cl)Cl	C00803136	P75583354
29,C[NH2+][C@@H](c1ccc(o1)Br)c2cc3c(cc2Br)[nH]c(=O)[nH]3	C52094451	P77994671
30,c1ccc(cc1)[C@H](c2ccc3c(c2)[nH]c[nH+]3)NC(=O)CNC(=O)c4cccs4	C25145754	P80567904
31,c1cc2c(cc1C(=O)N/N=C\c3cc(cc(c3O)Br)Br)[nH+]c[nH]2	C28351959	P80624925
32,c1ccc2c(c1)nc3n2[C@@H](NC(=[NH2+])N3)c4cccc(c4)OCc5cccc(c5)C#N	C54426001	P81890400
33,C[C@H](c1ccccc1)NC(=O)C2CCC(CC2)CNC(=O)[C@H]3Cc4ccccc4C[NH2+]3	C16034003	P86313147
