,ligand	Cc1cc(cnc1C(=O)NC)Nc2nccc(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]5CC5(F)F	38	P10000018
0,CCOC(=O)C1=C(OC2=C([C@@]13c4ccccc4N(C3=O)CC(=O)OC)C(=O)CC(C2)(C)C)N	C04110973	P05193438
1,CC1=C([C@@H](C(=C(O1)N)C#N)c2cc3cc4c(cc3nc2Cl)OCO4)C(=O)OCCOC	C06232941	P09713471
2,COc1cccc(c1O)[C@H]2CC(=NN2C(=O)c3ccco3)c4cccc(c4)NS(=O)(=O)C	C09260393	P14187386
3,Cn1c(c(c(=O)n(c1=O)C)C(=O)CSc2nnc(n2C3CCCC3)c4ccccc4Cl)N	C03363554	P14625381
4,CC(C)[C@@H](c1ccc2c(c1)OCCCO2)NC(=O)CN3C(=O)[C@](NC3=O)(C)c4ccco4	C09666760	P14806658
5,CCOC(=O)CN1c2ccccc2[C@@]3(C1=O)C4=C(CC(CC4=O)(C)C)OC(=C3C(=O)OC)N	C09695239	P14848873
6,Cn1c2c(c(=O)n(c1=O)C)n(c(n2)SCc3nnc(s3)N)Cc4ccccc4Cl	C08846515	P15322674
7,C[C@@]1(C(=O)N(C(=O)N1)CC(=O)Nc2cc3c(cc2Cl)OCCO3)c4ccc(cc4)OC	C11288662	P16823195
8,CC(=O)N(c1ccc(cc1F)F)c2nc(cs2)/C=C(\C#N)/c3nc(nc(n3)N(C)C)N	C11298245	P16835336
9,Cc1cc2cc3c(cc2n4c1nnc4SCC(=O)Nc5ccc(cc5)NC(=O)C)OCCO3	C00877420	P18325388
10,C[C@@H](C(=O)Nc1cccc2c1cccc2)NC(=O)[C@H]3[C@@H]4[C@H]([C@@H]5[C@H](O3)OC(O5)(C)C)OC(O4)(C)C	C12776555	P18775757
11,c1cc(oc1)C(=O)NNC(=O)CSc2nnc3n2c(nc4c3c5c(s4)CCCC5)C6CC6	C13502571	P20794618
12,COc1ccc2c(c1OC)C(=O)O[C@H]2c3c(=O)[nH]c(=O)n(c3O)c4ccc(cc4)Br	C02294202	P21215452
13,Cn1c2c(/c(=N/OCC(=O)Nc3cc(ccc3Cl)C(F)(F)F)/cc[nH]2)c(=O)n(c1=O)C	C12310151	P21620441
14,C[C@@]1(C(=O)N(C(=O)N1)CC(=O)NCc2ccc(cc2)OC)c3ccc4c(c3)OCCCO4	C16048373	P24274201
15,CCOC(=O)c1c2c(sc1NC(=O)C)/C(=N/NC(=O)c3c(cnn3C)Cl)/CCC2	C17101763	P25716103
16,CC[C@@H]1C(=O)N(c2cc(ccc2O1)[C@@H](c3ccco3)O)CC(=O)Nc4c(nn(c4C)C)C	C19500861	P28859599
