,ligand	c1cc(c(c(c1)F)c2cc(c3c(n2)CNC3=O)Nc4ccc(cc4)C(=O)N5CCCC5)F	24	P10000002
0,CCOC(=O)[C@@H]1[C@@H](NC(=O)N([C@@]1(C(F)(F)F)O)C)c2ccc(cc2)Br	C00951738	P06050442
1,COc1ccc(cc1OC)[C@H]2CC3=C([C@H](Nc4ccccc4N3)c5ccncc5)C(=O)C2	C00709636	P06566077
2,Cc1ccc(cc1C)N2C(=O)/C(=C/c3cccn3c4ccc(cc4)O)/C(=O)NC2=S	C01101056	P06793147
3,CC(C)Oc1ccc(cc1OC)[C@@H]2CC3=C([C@H](CC(=O)N3)c4ccc(cc4)O)C(=O)C2	C04987498	P07303550
4,CC1CCC2(CC1)C(=O)N(C(=O)N2)NC(=O)[C@H](c3ccccc3)Sc4ccccc4	C08189608	P12419112
5,C[C@]1(C(=O)N(C(=O)N1)CC(=O)Nc2cccc(c2)SC)c3cccc(c3)Br	C08635137	P13186443
6,CN(C)c1ccc2c(c1)OC(=C([C@@H]2c3cc(c(cc3OC)OC)Br)C#N)N	C01231695	P14268009
7,COc1ccc(cc1)N2C(=O)/C(=C\c3cc(cc(c3O)Cl)Cl)/C(=O)NC2=S	C09933371	P15171603
8,C[C@]12CC[C@H]3[C@@H]([C@@H]1CC[C@@H]2O)CCC4=C/C(=N\OCC(=O)NCc5ccncc5)/CC[C@]34C	C12296257	P18063512
9,CC(C)Cn1c2c(c(=O)[nH]c1=O)[C@@H](C3=C(N2)CC(CC3=O)(C)C)c4ccc(cc4)SC	C12566138	P18473493
10,CCCN1c2ccccc2[C@@]3(C1=O)C(=C(N(C4=C3C(=O)CCC4)c5ccccc5)N)C#N	C13567585	P20895264
11,CN(C)c1ccc2c(c1)OC(=C([C@H]2c3cc(c(c(c3)Br)OC)OC)C#N)N	C13586108	P20922004
12,CCOc1cc(ccc1O)/C=C\2/C(=O)N(C(=S)S2)NC(=O)c3ccc(cc3)Cl	C13659817	P21029285
13,COc1cc(cc(c1OCc2ccc(cc2)F)Br)/C=C/3\C(=O)NC(=O)N3	C13898302	P21394634
14,c1cc(ccc1NS(=O)(=O)c2ccc3c(c2)NC(=O)CCS3)OC(F)(F)F	C15728427	P23721251
15,COc1cc(cc(c1O)/C=N/NC(=O)c2cc(cnc2)Br)Br	C00805099	P24432891
16,C[C@@H](c1ccc(cc1)Br)NC(=O)CN2C(=O)[C@@](NC2=O)(C)c3ccc(cc3)F	C16455675	P24862790
17,Cc1c2c([nH]n1)NC3=C([C@@H]2c4ccccc4)C(=O)C[C@@H](C3)c5ccc(c(c5)OC)OC	C18200078	P27209208
18,c1cc(ccc1c2cc3ccc(c(c3oc2=O)C[NH+]4CCN(CC4)CCO)[O-])Cl	C20605085	P30744024
19,COc1ccc(c(c1)[C@@H]2CC3=C([C@H](Nc4ccccc4N3)c5ccncc5)C(=O)C2)OC	C21236223	P31693879
20,Cc1c2c(n(n1)c3ccccc3Cl)NC(=O)CS[C@H]2c4ccc(c(c4)OC)O	C21523879	P32095270
21,C[C@H](c1ccc(cc1)S(=O)(=O)N)N(C)S(=O)(=O)c2ccc(c(c2)Cl)Cl	C23261403	P34521973
22,Cc1ccc(c(c1)O)NC(=O)[C@H]2CCCN2S(=O)(=O)c3ccc(s3)Br	C25170196	P37215929
23,c1c(c[nH]c1C(=O)OCC(=O)Nc2c(c3c(s2)CCCCC3)C#N)Br	C28176855	P41472822
24,Cc1ccccc1NC(=O)C[C@]23CSc4c(sc(=O)[nH]4)[C@H]2c5ccccc5OC3=O	C32594566	P48256321
25,C/C=C/C(=O)OCC(=O)[C@]1(CC[C@H]2[C@]1(C[C@@H]([C@@H]3[C@@H]2CCC4=CC(=O)CC[C@@]34C)O)C)O	C35183129	P52211256
26,C=CCOc1ccc(cc1)[C@@H]2C3=C(N=N[C@H]3NC4=C2C(=O)C[C@H](C4)c5cccs5)O	C39359154	P59638682
27,c1ccc2c(c1)c(c[nH]2)CC(=O)OC[C@H]3CC(=O)N4C=C(C=C[C@@H]4N3)Br	C39445138	P59786597
28,CC1=C[C@@H](N(N1)C)C(=O)NC[C@@H]2Cc3cc(cc(c3O2)C4=CC5=CC=N[C@@H]5C=C4)Cl	C39466726	P59819195
29,Cc1c2c(oc1C(=O)NNC(=O)c3ccc(cc3)Br)CC(CC2=O)(C)C	C39851818	P60471538
30,c1cc2c(cc1F)[nH]cc2C3=CCN(CC3)S(=O)(=O)c4ccc5c(c4)CCC(=O)N5	C40116302	P60884321
31,COc1ccccc1c2ccc3c(n2)[C@@H](C4=C(C[C@H](CC4=O)c5ccccc5)NC3=O)O	C40569003	P61600001
32,CCOc1cccc(c1O)/C=N/n2c(n[nH]c2=S)c3ccccc3Br	C09320497	P75349806
33,C=CCc1cc(cc(c1O)Br)/C=C/2\C(=O)NC(=O)N(C2=O)c3ccc(cc3)F	C59135554	P89725387
34,Cc1cc(c(c2c1C(=O)/C(=C/c3ccccc3Cl)/O2)CN4CCN(CC4)CCO)O	C41514038	P96622143
35,Cc1c2c([nH]c1C(=O)N[C@H]3N=C(CS3)CN4CCC(CC4)C)CC(CC2=O)(C)C	C38716079	P98125756
36,CC(C)C[C@H]1[C@@H]2[C@@H](C(=O)N(C2=O)CCc3ccccc3)[C@@]4(N1)c5cc(ccc5NC4=O)F	C16022143	P110912207
37,Cc1ccc2c(c1C)NC(=O)[C@]23[C@H]4[C@@H]([C@H](N3)C(C)C)C(=O)N(C4=O)Cc5ccc(cc5)F	C16010334	P110955300
38,C[C@H]1Cc2cc(ccc2N1C(=O)COc3ccc(c(c3)Cl)Cl)S(=O)(=O)N	C16745445	P111348509
39,CC(C)(c1ccc(cc1)Br)C(=O)NNC(=O)[C@H]2COc3ccccc3O2	C46752724	P111569693
40,c1ccc2c(c1)c(n[nH]c2=O)CC(=O)NCCn3ccc4c3cc(cc4)Br	C72401824	P112617693
41,c1ccc(c(c1)c2[nH]ncn2)OCC(=O)Nc3ccc(cc3)I	C84514379	P132252883
42,C[C@H](c1ccc(cc1)Br)NC(=O)CN2C(=O)[C@]3(CCc4c3cccc4)NC2=O	C16046091	P140527179
43,COc1ccc(c2c1cccc2)[C@H]3c4c(nn(c4NC(=O)CS3)C5CCSCC5)O	C96116602	P151400479
44,Cc1ccc(c(c1)C)N2C(=O)/C(=C\c3cc(n(c3C)c4ccc(cc4)O)C)/C(=O)NC2=S	C34856948	P152350773
45,CCOc1ccc(cc1)N2C(=O)/C(=C/c3cc(c(c(c3)Cl)O)Cl)/C(=O)NC2=S	C96476792	P152360941
46,c1ccc(c(c1)C(=O)NCCN2C(=O)/C(=C\c3cccc(c3)Br)/SC2=O)O	C35104227	P152673343
47,Cc1c(c(=O)[nH]c(n1)C(C)(C)C)C(=O)N[C@@H](C)c2ccc(c(c2)Br)OC	C97100082	P153718800
48,Cc1cc(n(n1)CC(=O)N/N=C(/C)\c2cc(cc(c2O)Br)Br)C	C57662720	P155228793
49,c1ccc2c(c1)CC[NH2+][C@H]2C3=C(C[C@H]([C@H](C3=O)n4cncn4)c5ccc(cc5)Cl)[O-]	C13394824	P155474395
