,ligand	Cc1cc(cnc1C(=O)NC)Nc2nccc(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]5CC5(F)F	39	P10000016
0,CCOC(=O)C1=C(OC2=C([C@]13c4ccccc4N(C3=O)CC(=O)OC)C(=O)CC(C2)(C)C)N	C04110975	P05193440
1,c1ccc2cc(ccc2c1)S(=O)(=O)Nc3ccc(cc3)S(=O)(=O)N4CC(=O)NC(=O)C4	C00783494	P09193802
2,COc1cc(cc(c1OC)OC)[C@H]2C3=C(C[C@H](CC3=O)c4ccccc4O)Nc5n2ncn5	C09190047	P14089172
3,Cn1c(c(c(=O)n(c1=O)C)C(=O)CSc2nc3ccccc3c4n2c5ccccc5n4)N	C09283561	P14225062
4,Cc1cc2c(c(=O)n1Cc3ccco3)[C@@H](C(=C(O2)N)C#N)c4cc(c(cc4OC)OC)OC	C02246948	P14303607
5,CC1CCN(CC1)S(=O)(=O)c2ccc(cc2)C(=O)Nc3c(ccs3)C(=O)NC(=O)OC	C09384344	P14378923
6,Cc1cc2c(c(=O)n1Cc3ccc4c(c3)OCO4)[C@@H](C(=C(O2)N)C#N)c5ccc(c(c5)OC)OC	C02700176	P14492819
7,c1ccc2c(c1)C(=NS2(=O)=O)NCC(=O)Nc3cccc(c3)c4nnc5n4CCCCC5	C09481740	P14523897
8,Cc1nnc(n1N)SCC(=O)N2[C@@H]([C@@H]3CCC/C(=C\c4ccco4)/C3=N2)c5ccco5	C10213165	P15543120
9,Cc1c(n(c(c1C#N)NC(=O)CSc2nnnn2c3ccc(cc3)O)C4CCCC4)C	C12475632	P18333612
10,C[C@@]1(C(=O)N(C(=O)N1)NC(=O)CSc2nc3ccccc3n2C)c4ccc(cc4)OC	C12549538	P19062059
11,CC(=O)NCCN1[C@@H](C(=C(c2ccc(cc2)Cl)O)C(=O)C1=O)c3ccc(cc3)[N+](=O)[O-]	C09271949	P19825344
12,CC(C)[C@@H](C(=O)Nc1ccc2c(c1)OCO2)NS(=O)(=O)c3ccc4c(c3)OCCCO4	C14196509	P21775842
13,C[C@@H]1CCCC[C@]12C(=O)N(C(=O)N2)CC(=O)Nc3nc4ccc(cc4s3)S(=O)(=O)C	C14462206	P22117636
14,CN(c1ccccc1)S(=O)(=O)c2cccc(c2)NS(=O)(=O)c3ccc4c(c3)NC(=O)CO4	C14898290	P22677494
15,Cc1ccc(cc1)c2cnnc(n2)n3c4c(c(n3)C)[C@@H](CC(=O)N4)c5ccc(c(c5)OC)O	C15670094	P23649597
16,CN(CC(=O)Nc1cccc(c1)c2ccno2)S(=O)(=O)c3ccc4c(c3)ccc(=O)[nH]4	C15678653	P23660196
17,c1ccc(cc1)Cc2nnc(s2)NC(=O)CN3C(=O)[C@@]4(CCOc5c4cccc5)NC3=O	C16685349	P25174642
18,c1cc(sc1)c2nc3n(n2)c(cs3)CCNC(=O)C(=O)Nc4ccc5c(c4)OCCO5	C17170205	P25811804
19,CCOC(=O)CN1c2ccccc2[C@@]3(C4=C(CC(CC4=O)(C)C)OC3=O)C(=C1N)C(=O)OC	C20167693	P30029924
20,Cc1ccc(c(c1)NC(=O)[C@H]2CCCN(C2)S(=O)(=O)c3ccc4c(c3)oc(=O)[nH]4)OC	C20994336	P31356645
21,C[C@H]1CCC[C@H]([C@@H]1C)NC(=O)NC(=O)CSc2nnc(n2C)[C@@H]3COc4ccccc4O3	C23587918	P34994558
22,COc1ccc2c(c1)CCC[C@]23C(=O)N(C(=O)N3)C[C@@H](CN4C(=O)c5ccccc5C4=O)O	C25223346	P37291567
