,ligand	Cc1cc(cnc1C(=O)NC)Nc2[nH+]ccc(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]5CC5(F)F	38	P10000019
0,C[NH+](C)CCCN(Cc1cc2cc3c(cc2[nH]c1=O)OCO3)C(=O)Nc4ccccc4	C04231303	P05511089
1,C/C(=C/Cn1c2c(=O)[nH]c(=O)n(c2[nH+]c1N/N=C/C(=C/c3ccccc3)/Br)C)/Cl	C00824771	P12885454
2,Cn1c2c(c(=O)n(c1=O)C)n(c([nH+]2)N/N=C/c3cc(ccc3O)Br)CC=C	C08856731	P13597255
3,Cc1ccc(cc1C)n2c(c(c(=O)[nH]c2=O)[C@H]3c4c(cc5c(c4OC)OCO5)CC[NH+]3C)O	C08918493	P13689754
4,CC(C)NC(=O)NC(=O)CSc1nnc(n1c2ccc(cc2)F)C[NH+]3CCCCC3	C09880778	P15645014
5,CC(=O)Nc1ccc(c[nH+]1)C#CC2(CCCCC2)NC(=O)C3CCN(CC3)S(=O)(=O)C	C12144121	P17874498
6,CCOC(=O)[C@]1([C@@H]2[C@@H]([C@H]([NH2+]1)c3ccc(c(c3)OC)O)C(=O)N(C2=O)C)c4ccccc4	C12495694	P18363377
7,Cn1c2c(c(=O)[nH]c1=O)n(c([nH+]2)N/N=C/c3ccc(cc3)OC)Cc4ccc(cc4)Br	C12558820	P18460105
8,c1cc(ccc1n2c(nnn2)SCC(=O)NCC3(CCCCC3)[NH+]4CCCCC4)O	C12601001	P18525552
9,Cc1ccc2cc(c(=O)[nH]c2c1C)[C@H](c3nnnn3Cc4ccccc4)[NH+]5CCC(CC5)O	C06442590	P19304620
10,c1cc(c[nH+]c1)NC(=O)CCNC(=O)C2CCN(CC2)S(=O)(=O)c3ccc(cc3)Cl	C13691548	P21079907
11,CCOc1ccc(cc1)n2c(=O)c(c(nc2S)O)[C@H]3c4cc(c(cc4CC[NH2+]3)OC)OC	C09318043	P25606411
12,CCOC(=O)c1c(c(c([nH]1)C)/C(=C/2\[C@H](N(C(=O)C2=O)Cc3ccc[nH+]c3)c4ccc(cc4)F)/O)C	C09333856	P25827092
13,Cc1cc2nc(cc(n2n1)O)C[C@H](c3ccc(cc3)F)NS(=O)(=O)c4cn(c[nH+]4)C	C19129924	P28259213
14,Cc1c(c(=O)[nH]c(=O)[nH]1)S(=O)(=O)N2CC[NH+](CC2)[C@H](c3ccccc3)c4ccc(cc4)Cl	C20136675	P29970131
15,c1cc(ccc1c2nc(on2)[C@@H]3Cc4c([nH+]c[nH]4)CN3Cc5[nH]ccn5)OC(F)(F)F	C15675590	P30571029
16,Cc1cc(c2ccccc2[nH+]1)NC(=O)C(=O)Nc3cc(ccc3OC)N4CCCS4(=O)=O	C20800354	P31034190
17,Cn1cccc1[C@@H](CNC(=O)C(=O)Nc2ccc(c(c2)Cl)OC)[NH+]3CCN(CC3)C	C21156909	P31596540
18,Cc1ccc(cc1)n2c3ccccc3[nH+]c2SCC(=O)c4c(n(c(=O)n(c4=O)C)C)N	C21739389	P32380538
19,Cc1ccc2c(c1)S(=O)(=O)N=C(N2)C[NH+]3CCN(CC3)C[C@H](COc4ccccc4)O	C24899305	P36877805
20,c1ccc(cc1)OC[C@H](CN2CC[NH+](CC2)CC3=NS(=O)(=O)c4cc(ccc4N3)Cl)O	C24899337	P36877856
21,c1cc(cc(c1)S(=O)(=O)NCCN2CCN(CC2)c3c4c(cc[nH+]3)CCCN4)C#N	C24978183	P36979192
22,CC(C)NC(=O)c1ccc2c(c1)[nH+]c(n2C)CN3CCN(CC3)C(=O)NCc4ccc(cc4)F	C33275821	P49210242
23,Cc1cccn2c1nc(c2C)C(=O)C3=C(C(=O)N([C@@H]3c4ccc(cc4)O)CCC[NH+](C)C)O	C35483977	P52666076
24,Cc1c(c(=O)c2ccc(c(c2o1)C[NH+]3CCN(CC3)CCO)O)Oc4ccccc4OC	C20412379	P56778336
25,CC(=O)NCCC1=c2ccccc2=[NH+][C@@H]1/C=C\3/C(=O)NC(=O)N(C3=O)c4ccc(cc4)Cl	C38664264	P58533284
26,COc1cccc(c1)[C@H]2C[C@@H](ON2)CC3(CC[NH+](CC3)Cc4ccc(o4)[C@@H]5C=CN=N5)O	C39442491	P59781098
27,Cc1cc(c2c(c1)occ2CC(=O)N/N=C/3\CCCc4c3c(c(o4)C(=O)NN5CC[NH+](CC5)C)C)C	C40826837	P61983223
28,CC(C)C[C@@H]1[C@@H]2[C@@H](C(=O)N(C2=O)CCc3ccc(c(c3)OC)OC)[C@]4([NH2+]1)c5ccccc5NC4=O	C09430232	P75873688
29,CC(C)[C@H]1[C@@H]2[C@@H](C(=O)N(C2=O)CCc3ccc(c(c3)OC)OC)[C@@]4([NH2+]1)c5cc(ccc5NC4=O)F	C16024727	P75874858
30,CC/C=c/1\[nH]n-2c(=[NH2+])/c(=C/c3ccc(c(c3)OC)OS(=O)(=O)c4ccccc4)/c(=O)nc2s1	C01830711	P80015162
31,CC(C)NC(=O)CN1CC[NH+](CC1)CN2C(=O)[C@@](NC2=O)(C)c3ccc(cc3)C(C)(C)C	C22281225	P86892946
32,CC(C)[NH+](Cc1[nH]c(=O)c2ccccc2n1)CC(=O)N3c4ccccc4NC(=O)C35CCCC5	C58181355	P87807060
33,CC(C)[C@@H](C(=O)NCc1ccco1)NC(=O)N2CCN(CC2)C(=O)[C@@H]3C=c4ccccc4=[NH+]3	C63279959	P97181141
34,CCOc1ccc(cc1)n2c(=O)c(c([nH]c2=O)[O-])[C@@H]3[C@@H]4C(=c5ccccc5=[NH+]4)CC[NH+]3C	C63375628	P97326494
35,COCCN1C(=O)[C@@H]2[C@H](N[C@]3([C@@H]2C1=O)c4cccc(c4NC3=O)Cl)CC5=c6ccccc6=[NH+]C5	C63383732	P97336787
36,CC[NH+]1CCC2=c3ccccc3=[NH+][C@@H]2[C@@H]1[C@@H]4[C@@H](N(C(=NC4=O)[O-])c5cccc(c5)OC)O	C63384142	P97337198
37,CC(=O)N[C@@H](CC1=c2ccccc2=[NH+]C1)C(=O)OC[C@H]3CC(=O)N4C=C(C=C[C@@H]4N3)Br	C63731503	P97857742
38,Cc1cccc(c1)N2[C@@H](N=C3C(=C(N=N3)C)C2=[NH2+])SCC(=O)Nc4ccccc4OC	C63731812	P97859298
39,CN(Cc1ccc2c(c1)NSN2)C(=O)CCc3nnc(o3)CC4=c5ccccc5=[NH+]C4	C64626350	P99248192
40,COc1cccc(c1)n2c(=O)c3ccc(cc3[nH]c2=O)[C@@H]4[NH+]=C(NO4)c5ccc(cc5)F	C64870189	P99674342
41,COc1cccc(c1OC)C2=[NH+][C@@H](ON2)c3ccc4c(c3)[nH]c(=O)n(c4=O)Cc5ccccc5	C64870230	P99674410
42,Cc1ccc(cc1)C2=CC(=O)N(c3c(ccc[nH+]3)N2)CC(=O)NCc4cccc(c4OC)OC	C65026277	P99912001
43,Cc1ccc(c(c1)N2C(=O)/C(=C\c3cc(ccc3N4CC[NH2+]CC4)[N+](=O)[O-])/C(=O)NC2=S)C	C17085713	P112147166
44,CC1=C(SCCO1)/C(=N/c2cc(c(cc2Cl)/C(=N/CCN3CC[NH+](CC3)C)/O)OC)/O	C22938957	P128005971
45,CSCC[C@H]1[C@H]2[C@@H](C(=O)N(C2=O)c3cccc(c3)[N+](=O)[O-])[C@@]4([NH2+]1)c5ccccc5NC4=O	C16009602	P150037560
46,CC(C)(C=C)[C@@]12CC(=O)C(=O)N\3[C@]1(NC(=O)/C3=C\c4c[nH+]c[nH]4)N(c5c2cccc5)OC	C35458600	P150687233
47,C[C@@H](C(=O)NC(=O)NC(C)C)[NH+]1CCC[C@@H](C1)c2nnc3n2cc(cc3)C(F)(F)F	C96994054	P153513077
