,ligand	c1cc(c(c(c1)F)c2cc(c3c(n2)CNC3=O)Nc4ccc(cc4)C(=O)N5CCCC5)F	22	P10000004
0,COC(=O)C1=C(OC2=C([C@H]1c3cc(ccc3OCC#C)Br)C(=O)CCC2)N	C02502632	P05449186
1,Cc1cccc(c1)N2C3=C([C@H](C(=C2N)C#N)c4ccc(c(c4)OC)OC)C(=O)CCC3	C00713353	P05841855
2,c1cc(c(c(c1)Cl)NC(=O)COc2ccc(cc2)/C=C/3\C(=O)NC(=O)S3)Cl	C09227582	P14141552
3,COc1ccc(cc1O)/C=C/2\C(=O)N(C(=S)S2)NC(=O)C34CC5CC(C3)CC(C5)C4	C09234576	P14150718
4,CC1(CC2=C([C@H](C(=C(O2)N)C#N)c3cc(c(cc3Br)OC)OC)C(=O)C1)C	C00818628	P14246528
5,CCC[C@@H]1O[C@H]2C[C@@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5([C@@H]4[C@H](C[C@]3([C@]2(O1)C(=O)CO)C)O)C	C11592637	P17225363
6,c1ccc2c(c1)OC[C@H](O2)C(=O)NNC(=O)/C(=C/c3ccc(cc3)F)/c4cccs4	C11776651	P17436267
7,Cc1c(c(c(c(c1C)C)S(=O)(=O)NNC(=O)c2cc(cn2C)Br)C)C	C12937089	P19002560
8,CC1=C(C(=NS(=O)(=O)N1)C)CCC(=O)Nc2ccc(cc2)I	C12949878	P19021755
9,Cc1ccc(cc1)N2C3=C(C(=O)CCC3)[C@@]4(c5ccccc5N(C4=O)CC=C)C(=C2N)C#N	C13567589	P20895268
10,Cc1cccc(c1)N2C3=C(C(=O)CCC3)[C@]4(c5ccccc5N(C4=O)CC=C)C(=C2N)C#N	C13567592	P20895271
11,Cc1ccccc1N2C3=C(C(=O)CCC3)[C@@]4(c5ccccc5N(C4=O)CC=C)C(=C2N)C#N	C13567599	P20895278
12,c1ccc2c(c1)c(c[nH]2)[C@H]3c4ccccc4C(=O)N3CCC(=O)Nc5ccc(cc5)C#N	C13957633	P21474604
13,c1ccc(cc1)n2c3c(c(n2)C(C(F)(F)F)(F)F)[C@H](C(=C(O3)N)C#N)c4cccnc4	C13959768	P21478280
14,c1ccc(cc1)CNC(=O)c2cccc3c2N[C@@H]([C@H]4[C@@H]3C=CC4)c5ccccc5[N+](=O)[O-]	C14478127	P22134341
15,c1cc(ccc1/C=C\2/C(=O)N(C(=O)N2)CC(=O)Nc3ccc(cc3)Cl)Br	C15051712	P22868564
16,c1cc(ccc1[C@@H](CC(=O)c2ccc(cc2)Cl)C3C(=O)NC(=O)NC3=O)Br	C01091049	P23093303
17,COc1cc(cc(c1O)[C@H]2Nc3ccccc3C(=O)N2Cc4ccco4)Br	C15248759	P23124740
18,COc1ccc(cc1)C(=C2[C@@H](N(C(=O)C2=O)CCO)c3ccc(cc3Cl)Cl)O	C15920038	P24045349
19,CCOc1cc(cc(c1O)/C=N/NC(=O)c2cc(cnc2)Br)Br	C01234880	P24432890
20,CC(=O)N[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]3[C@H]2CC[C@]4([C@@H]3C[C@H]([C@@H]4OC(=O)C)NC(=O)C)C)C	C16956620	P25533438
21,Cc1ccc(s1)[C@@H]2c3c([nH]n(c3=O)c4ccccc4)NC5=C2C(=O)C[C@H](C5)c6ccco6	C18200822	P27209966
22,CC(C)N1CC=C2[C@H](C1)[C@H](C(C(=C2C#N)N)(C#N)C#N)c3ccc(c4c3cccc4)OC	C19597309	P29044350
