,ligand	c1cc2cc(c1)-c3ccnc(n3)Nc4ccc(c(c4)COC/C=C/COC2)OCC[NH+]5CCCC5	11	P10000021
0,CCOc1ccc(cc1OCC)[C@@H]2[C@H]3C[C@H](CC=C3[C@H](C(=[NH2+])C2(C#N)C#N)C#N)C(C)(C)C	C08441885	P12787863
1,CC1(CC2=NC(=C)C([C@H](C2C(=O)C1)c3cccc(c3)OC)C(=O)Nc4ccc(c[nH+]4)Br)C	C08413075	P12787990
2,COc1ccc(cc1COCC(F)(F)F)[C@H]2[C@H]3CCCC=C3[C@@H](C(=[NH2+])C2(C#N)C#N)C#N	C08430705	P12818858
3,c1cc(ccc1Oc2c(=O)c3ccc(c(c3oc2C(F)(F)F)C[NH+]4CCOCC4)O)Cl	C00937821	P12878261
4,COC(=O)[C@@]1([C@@H]2[C@@H]([C@@H]([NH2+]1)c3ccc(cc3)Cl)C(=O)N(C2=O)c4ccc(cc4)Cl)c5ccccc5	C08781470	P13485945
5,c1ccc2c(c1)c3c4c(cc[nH+]3)c5cc(ccc5n4c2=O)OCC(=O)NCc6ccc(cc6)F	C08792425	P13502886
6,c1cc(ccc1NC(=O)CSc2[nH+]ccn2Cc3ccc4c(c3)OCO4)Br	C08824414	P13548854
7,CCn1cc(c2c1ccc(c2)OC)/C=C/3\C(=O)c4ccc(c(c4O3)C[NH+]5CCC[C@@H](C5)C)O	C08991280	P13803328
8,Cc1ccccc1c2nc3c(c(n2)SCc4cc[nH+]cc4)Cc5c(cnc(c5O3)C)CO	C09116423	P13985820
9,c1ccc2c(c1)C3=C([C@H](n4c(ncn4)N3)c5ccc[nH+]c5)[C@H](O2)c6ccc(cc6Cl)Cl	C09293166	P14239609
10,c1cc(c[nH+]c1)[C@H]2C3=C(c4cc(ccc4O[C@@H]3c5ccc(cc5Cl)Cl)Cl)Nc6n2ncn6	C09293459	P14240756
11,Cc1ccc2c(c1)C3=C([C@H](O2)c4ccc(cc4)SC)[C@@H](n5c(ncn5)N3)c6ccc[nH+]c6	C09309600	P14266053
12,c1ccc2c(c1)cc(c(=O)o2)C(=O)CSc3c(c(c4c([nH+]3)CCC4)c5ccc(cc5)O)C#N	C09524057	P14593939
13,COc1ccc(cc1NC(=O)c2cc(ccc2Cl)Br)c3nc4c(o3)ccc[nH+]4	C13568055	P20911533
14,Cc1ccc2c(cc(c(c2[nH+]1)OCC(=O)N[C@H](C)c3ccc4c(c3)OCCO4)Cl)Cl	C14218598	P21833628
15,C[NH+](C)[C@@H](CNC(=O)c1c2ccccc2c(=O)n(n1)c3ccccc3)c4ccccc4Cl	C15787841	P23798502
16,COc1ccc(cc1)/C=C\2/C(=O)c3ccc(c(c3O2)C[NH+]4CCCC[C@H]4c5cccnc5)O	C20762850	P30985009
17,CCc1cc2c(cc1S(=O)(=O)N3CC[NH+](CC3)C4CCCCC4)[nH]c5c2C(=O)CC(C5)(C)C	C20990365	P31333035
