,ligand	Cc1cc(cnc1C(=O)NC)Nc2nccc(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]5CC5(F)F	36	P10000029
0,Cc1c(noc1NS(=O)(=O)c2ccc(cc2)NC(=O)C3=C[C@@H]4C=CC=C[C@H]4OC3=O)C	C00998857	P09404588
1,COc1cccc(c1O)[C@@H]2CC(=NN2C(=O)c3ccco3)c4cccc(c4)NS(=O)(=O)C	C09260392	P14187383
2,C[C@@H]1CCc2c(sc(c2C(=O)NC(=O)OC)NC(=O)CN3C(=O)c4ccccc4C3=O)C1	C09298100	P14249048
3,c1ccc(cc1)C2(C(=O)N(C(=O)N2)NC(=O)Cn3cnc4ccccc4c3=O)c5ccccc5	C09377319	P14367041
4,CCOC(=O)c1c(oc2c1c(nc(n2)CN3c4cccc5c4c(ccc5)S3(=O)=O)N)C	C09439421	P14463316
5,COc1cccc(c1O)[C@H]2CC(=NN2C(=O)c3ccco3)c4ccc(cc4)NS(=O)(=O)C	C09517151	P14584355
6,CC(C)[C@H](c1ccc2c(c1)OCCCO2)NC(=O)CN3C(=O)[C@@](NC3=O)(C)c4ccco4	C09666759	P14806656
7,CC[C@]1(C(=O)N(C(=O)N1)NC(=O)C2CCN(CC2)S(=O)(=O)c3ccc(cc3)Cl)C	C09690607	P14842982
8,CC1CCC2(CC1)C(=O)N(C(=O)N2)NC(=O)CSc3nnc(n3C4CC4)c5cccs5	C09817556	P15011874
9,Cc1ccc(cc1)n2c(c(c(n2)C)NC(=O)CN3C(=O)[C@]4(CCOc5c4cccc5)NC3=O)C	C09983422	P15249925
10,Cc1cc(cc(c1C)NC(=O)CN2C(=O)C3(CCC(CC3)C)NC2=O)S(=O)(=O)N(C)C	C11283476	P16816580
11,Cc1cc(cc(c1C)NC(=O)CN2C(=O)[C@]3(CCCC[C@H]3C)NC2=O)S(=O)(=O)N(C)C	C11289987	P16824938
12,C[C@H](C(=O)Nc1cccc2c1cccc2)NC(=O)[C@H]3[C@H]4[C@@H]([C@@H]5[C@H](O3)OC(O5)(C)C)OC(O4)(C)C	C02134592	P18614848
13,COc1ccccc1NC(=O)N(Cc2cc3cc4c(cc3[nH]c2=O)OCCO4)C[C@@H]5CCCO5	C01335869	P18685248
14,CN1c2ccc(cc2CC1=O)S(=O)(=O)Nc3ccc(cc3)S(=O)(=O)/N=C/4\CCCCCN4	C12648465	P19055225
15,Cc1c2c(oc(c2c(=O)[nH]n1)NC(=O)CSc3nnc4n3cc(cc4Cl)Cl)C	C13109996	P19455104
16,c1cnc(nc1)NS(=O)(=O)c2ccc(cc2)NC(=O)Cc3cc4c(c(c3)Cl)OCCCO4	C12557211	P20657918
17,CS(=O)(=O)N1CCCC[C@H]1C(=O)/N=c\2/n(c3ccc(cc3s2)S(=O)(=O)N)CC=C	C13794864	P21238406
18,c1cc(ccc1F)S(=O)(=O)N2CCC[C@H](C2)C(=O)NN3C(=O)C4(CCCCC4)NC3=O	C15497397	P23443195
19,c1cc(ccc1CSc2nnc(s2)NC(=O)CN3C(=O)C4(CCCC4)NC3=O)C#N	C16685332	P25174625
20,CC[C@@]1(C(=O)N(C(=O)N1)CC(=O)Nc2c(n(n(c2=O)c3ccccc3)C)C)c4ccccc4	C17303053	P25972120
21,Cc1ccc(o1)CNC(=O)CN2CC[C@]3(CCC2=O)CNC(=O)c4ccc(cc4O3)OC	C19216649	P28368905
22,CC[C@H]1C(=O)N(c2cc(ccc2O1)[C@@H](c3ccco3)O)CC(=O)Nc4c(nn(c4C)C)C	C19500860	P28859598
23,C[NH+]1CCc2cc3c(c(c2[C@@H]1c4c([nH]c(=S)n(c4=O)c5ccc(cc5)OC)[O-])OC)OCO3	C17145639	P29930597
24,Cc1c(c(c(s1)c2c3c([nH]c2c4ccc(cc4)OC)n(c(=O)n(c3=O)C)C)O)C(=O)OC	C20897054	P31215883
25,Cc1c2c([nH]c1C(=O)NCCN3C(=O)/C(=C/c4ccc5c(c4)OCO5)/SC3=O)CCCC2=O	C21876574	P32559561
26,Cn1c(=O)c2ccccc2c(n1)C(=O)NNC(=O)c3ccccc3N(C)C(=O)c4cccs4	C25683493	P37944394
27,CSCC[C@@H]1[C@@H]2[C@H](C(=O)N(C2=O)c3ccc(cc3)[N+](=O)[O-])[C@]4(N1)c5ccccc5NC4=O	C16009666	P39714767
28,CCCNc1c2ccccc2oc(=O)c1NS(=O)(=O)c3ccc4c(c3)n(c(=O)n4C)C	C28049023	P41337116
29,c1cc(ccc1c2ccc(o2)/C=c\3/c(=O)n4c(s3)nc(n4)c5ccncc5)S(=O)(=O)N	C34107499	P50613106
30,Cc1c(c(=O)n(n1C)c2ccccc2)NC(=O)CN3C(=O)[C@@](NC3=O)(C)c4ccc(cc4)Cl	C12849538	P56815604
31,c1cc(oc1)c2ccc(=O)n(n2)CCNC(=O)C3CCN(CC3)C(=O)Nc4cccs4	C49429806	P73809938
32,C[C@H]1CCCC[C@]12C(=O)N(C(=O)N2)CN(C)CC(=O)Nc3ccc(cc3)N4CCOCC4	C12517465	P86257807
