,ligand	Cc1cnc(nc1c2cnn(c2)C(C)C)Nc3ccc4c(c3)CCN(C4)C(=O)/C=C/C(=O)c5ccccc5	31	P10000028
0,CCOc1ccccc1NC(=O)COC(=O)c2ccc(cc2)N3C(=O)c4cccc5c4c(ccc5)C3=O	C08805980	P13520018
1,CN(CC(=O)Nc1nc(cs1)c2cc(ccc2OC)OC)S(=O)(=O)c3ccc4ccccc4c3	C09252827	P14177185
2,Cc1ccccc1n2c(=O)c3ccccc3nc2SCC(=O)N/N=C/c4ccc(c(c4)OC)OC	C01253660	P14206460
3,COc1ccccc1NC(=O)CSc2nc3ccccc3c(=O)n2C[C@@H]4COc5ccccc5O4	C02971178	P14510032
4,C[C@@H]1CCC[C@H]([C@@H]1C)NC(=O)CSc2nnc3n2c4ccccc4c(=O)n3c5ccc(cc5)OC	C09496505	P14550945
5,Cc1ccc(cc1)N2C(=O)/C(=C\c3ccc4c(c3)OCO4)/N=C2SCC(=O)Nc5ccccc5C#N	C09540484	P14616463
6,CC(C)(C(=O)Nc1cc(ccc1OC)c2nn3cnnc3s2)Oc4ccc(cc4)Br	C10119968	P15425024
7,CC1=C([C@H](NC(=S)N1c2ccc3c(c2)OCCO3)c4cccc(c4OC(F)F)OC)C(=O)OC	C10353858	P15720169
8,COc1ccc(c2c1nc(s2)NC(=O)[C@H]3CCCCN3S(=O)(=O)c4ccc(s4)Cl)OC	C10813064	P16277621
9,COc1ccc(c2c1nc(s2)NC(=O)[C@@H]3CCCN(C3)S(=O)(=O)c4ccc(cc4)Cl)OC	C14017991	P21559372
10,CCOc1cc(cc(c1OC)I)/C=C(/C#N)\C(=O)Nc2cccc(c2)[N+](=O)[O-]	C15223208	P23093105
11,COc1cccc(c1)CN2CC(=O)N3[C@@H](C2=O)Cc4c5ccccc5[nH]c4[C@@H]3c6cc(ccc6OC)OC	C15953892	P24101401
12,C[C@]12c3c(c4ccccc4[nH]3)[C@H](CN1C(=O)CN(C2=O)Cc5ccc(cc5)OC)c6cccc(c6OC)OC	C02111520	P24103187
13,CCOc1ccc(cc1OC)[C@H]2c3c(c4ccccc4[nH]3)C[C@H]5N2C(=O)CN(C5=O)Cc6ccc(cc6)OC	C15956276	P24104742
14,CCN(c1ccccc1)S(=O)(=O)c2ccc(cc2)C(=O)Nc3nc4cc(c(cc4s3)OC)OC	C16047691	P24272771
15,COc1ccc(cc1[N+](=O)[O-])C(=O)C[C@@]2(c3ccccc3N(C2=O)Cc4ccc(c(c4)Cl)Cl)O	C16227672	P24560087
16,CCOC(=O)c1c2c(sc1NC(=O)c3cc(ccc3OC)S(=O)(=O)N4CCCC4)CCCC2	C17297514	P25966078
17,COc1ccc(cc1OC)[C@H]2CC3=C([C@H](n4c(ncn4)N3)c5ccc(cc5)OCc6ccccc6)C(=O)C2	C18198001	P27207099
18,Cn1cnnc1SCc2ccc(cc2)C(=O)N/N=C/c3c(ccc(c3Br)OC)OC	C20428563	P30442999
19,C[C@@]1(Cn2c(cc3c2c(ccc3OC)OC)C(=O)N1Cc4ccc(cc4)OC)C(=O)NC5CCCC5	C21857703	P32529099
20,CCc1nc2n(n1)c(c(s2)[C@@H](c3ccc(cc3)Br)N4CCN(CC4)C(=O)OCC)O	C16690219	P33942621
21,c1ccc(cc1)CC[C@H]2C(=O)N(C(=O)N2)CC(=O)N3[C@@H](CC(=N3)c4ccc(cc4)Cl)c5ccco5	C23656811	P35092333
22,CCOC(=O)c1c(nc(s1)N2[C@@H](C(=C(C2=O)O)C(=O)c3cc4ccccc4o3)c5cccs5)C	C33775755	P50049450
23,CCCOc1cccc(c1)[C@H]2C(=C(C(=O)N2c3nccs3)O)C(=O)c4cc5cccc(c5o4)OC	C33795957	P50083210
24,Cc1ccc(cc1)c2c(sc3c2c(=O)[nH]c(n3)CSc4nnc(n4C5CC5)N6CCOCC6)C	C25244431	P53524105
25,CC(C)(C)NC(=O)[C@@H](c1cc(ccc1Cl)[N+](=O)[O-])N(Cc2ccco2)C(=O)c3ccc(cc3)F	C36506289	P54265434
26,CC[C@H](C)NC(=O)CN1c2c(c(nn2C)C(C)(C)C)[C@H](SCC1=O)c3ccc(c(c3)OC)OC	C37425583	P55639564
27,C[C@H]1CCC[C@H]([C@@H]1C)NC(=O)[C@@]2(Cn3c(cc4c3c(ccc4OC)OC)C(=O)N2Cc5ccco5)C	C37443803	P55663618
28,Cn1c(nnc1SCC(=O)N2CCN(CC2)c3ccc(cc3)OC)c4cc5ccccc5cc4O	C17995966	P56621892
29,c1ccc(cc1)CCn2c(nnn2)[C@@H](c3ccc(cc3)O)N4CCN(CC4)c5nc6ccccc6s5	C13151210	P56861596
30,Cc1cc(c2c(c1)oc3c(c2=O)[C@H](N(C3=O)CCc4ccc(c(c4)OC)OC)c5ccc(c(c5)OC)O)C	C38591765	P58415016
31,CC1=C(N=NC(=O)[C@@H]1C#N)/C=C/c2ccc(c(c2)OC)OCC(=O)Nc3ccc(cc3)Br	C39617388	P60060260
32,COc1ccc(cc1OC)[C@H]2c3c(n[nH]c3C(=O)N2Cc4ccc5c(c4)OCO5)c6ccc(cc6)Cl	C40342446	P61239349
33,c1cc(oc1)CNC(=O)c2cc3ccc(cc3oc2=O)OC(=O)COc4ccc(cc4Cl)Cl	C40881163	P62061457
34,CCCNC(=O)c1cc2ccc(cc2oc1=O)OC(=O)c3cc4cc(ccc4oc3=O)Br	C40894721	P62080102
35,CCCc1ccc(cc1)c2csc(n2)NC(=O)CSc3nnc4n3c5ccccc5c(=O)n4C	C45538418	P68613530
36,CCCCCCn1c2c(=O)[nH]c(=O)n(c2nc1N3CCN(CC3)Cc4ccc(cc4Cl)Cl)C	C56952460	P85516742
37,Cc1ccc(c2c1cc(c(=O)[nH]2)[C@@H](c3nnnn3C(C)(C)C)N(Cc4ccccc4)Cc5ccco5)C	C57608616	P86573849
38,COc1ccc(cc1)N2CCN(CC2)Cc3c(ccc4c3O/C(=C\c5cccc(c5OC)OC)/C4=O)O	C41585756	P96674218
39,Cc1cc(c(c2c1C(=O)/C(=C/c3ccccc3OC)/O2)C[NH+]4CCN(CC4)Cc5ccc6c(c5)OCO6)[O-]	C41584987	P96678602
40,C[C@H]1C(=C(N=N1)C)S(=O)(=O)N(CC(=O)Nc2ccc(cc2)Br)c3ccc(cc3)OC	C63481040	P97477060
41,Cc1c(sc2n1nc(n2)c3ccc(cc3)Cl)CCNC(=O)c4cc(c(c(c4)OC)OC)OC	C35449239	P99298379
42,C[C@@]1(Cn2c(cc(n2)c3cccs3)C(=O)N1c4ccccc4OC)C(=O)NCc5ccc(cc5)OC	C64815083	P99597684
43,COc1ccc(cc1[N+](=O)[O-])C(=O)C[C@@]2(c3cc(ccc3N(C2=O)Cc4ccccc4Cl)Cl)O	C72193965	P112148168
44,c1ccc(cc1)COc2ccc(cc2)c3ccnc4c3c(=O)[nH]c(=O)n4Cc5ccc6c(c5)OCCO6	C72472206	P112748545
45,C[C@H](c1ccccc1)NC(=O)CSc2nnc(o2)c3c4ccccc4c(=O)n(n3)Cc5ccccc5	C03294801	P132480413
