,ligand	CCNC(=O)c1ccc(cc1C)Nc2ncc(c(n2)N3C[C@H]4CC[C@@H](C3)N4C(=O)C(F)(F)F)F	1	P10000011
0,C[C@]1(C(=O)N(C(=O)N1)CC(=O)Nc2cc(ccc2OC)OC)c3cccc(c3)Br	C03593304	P04610277
1,CN(c1ccccc1OC)S(=O)(=O)c2ccc(cc2)C(=O)NNC(=O)c3ccc(cc3)Cl	C02661050	P09419747
2,Cc1ccc(cc1Cl)S(=O)(=O)Nc2ccc(cc2)S(=O)(=O)Nc3nc(cc(n3)C)C	C01033584	P09472051
3,CCc1cc2c(s1)ncn(c2=O)CC(=O)N/N=C/c3cc(c(c(c3)Br)O)OC	C01784397	P09514095
4,Cn1c(nnc1SCC(=O)Nc2nc3ccccc3s2)CNC(=O)c4ccccc4Cl	C02840322	P10972585
5,C[C@@H]1Cc2cc(ccc2O1)C(=C3[C@H](N(C(=O)C3=O)C[C@@H]4CCCO4)c5ccc(c(c5)OC)O)O	C01019935	P12811739
6,Cc1ccc(cc1)N2C[C@H](CC2=O)C(=O)Nc3nnc(s3)SCC(=O)Nc4cccc(c4C)C	C08906201	P13670389
7,CCOC(=O)C1=C(OC2=C([C@@]13c4ccccc4N(C3=O)C)C(=O)C[C@H](C2)c5ccc(cc5)OC)N	C08995641	P13809241
8,Cc1c(cccc1NC(=S)NC(=O)c2ccc(c(c2)Cl)OC)c3nn4c(nnc4s3)C	C09064531	P14024231
9,COc1cc(cc(c1)OC)C(=O)NC(=S)Nc2cc3c(cc2Cl)nn(n3)c4ccccc4	C09190420	P14089620
10,Cc1nnc2n1N[C@H]([C@@H](S2)C(=O)Nc3cccc(c3)OC)c4ccc(c(c4)Br)OC	C09237827	P14154927
11,CCOC(=O)NC(=O)c1c2c(sc1NC(=O)CS(=O)(=O)c3ccc(cc3)C)CCCCC2	C09298526	P14249470
12,C[C@H](c1ccc2c(c1)CCCC2)NC(=O)CN3C(=O)[C@](NC3=O)(C)c4ccc5c(c4)OCCO5	C09413921	P14426246
13,Cc1ccc(c(c1)C)NC(=O)c2c(c3c(=O)[nH]c(nc3s2)CSc4nnc(o4)C5CC5)C	C09765355	P14942260
14,C=CCN1c2ccccc2[C@@]3(C1=O)N(c4ccccc4CO3)C(=O)CSc5nnc(s5)N	C10157842	P15472626
15,C[C@@]1(C(=O)N(C(=O)N1)CC(=O)N[C@@H](c2ccccc2)c3cccs3)c4ccc5c(c4)OCCO5	C13163718	P19787717
16,CCNC(=O)NC(=O)[C@@H](C)OC(=O)/C(=C/c1cc(n(c1C)c2ccc(cc2)Br)C)/C#N	C09093993	P19854598
17,CCc1nc2c(c3c(s2)CCCC3)c4n1c(nn4)SCC(=O)Nc5cccc(c5)NC(=O)C	C13499936	P20791365
18,Cc1cccc(c1C)O[C@@H](C)C(=O)NNC(=O)Cn2cnc3c(c2=O)c(cs3)c4cccs4	C18103254	P27059324
